DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,38,$43715.76,$21130.47,$19350.94
176 - PULMONARY EMBOLISM W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,31,$49434.61,$12770.74,$12011.12
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,44,$31410.43,$17874.43,$16854.79
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,69,$34142.10,$10804.46,$10059.92
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,30,$26175.43,$8163.06,$7275.43
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,168,$166521.81,$63432.91,$61279.72
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,41,$13457.92,$14191.14,$13343.82
194 - SIMPLE PNEUMONIA & PLEURISY W CC,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,15,$12094.93,$12583.60,$11527.06
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,42,$59994.78,$76744.09,$75510.69
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,27,$89246.70,$44002.18,$39189.25
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,22,$11292.45,$9267.18,$8526.18
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,20,$11751.10,$6970.40,$6131.00
683 - RENAL FAILURE W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,46,$22482.71,$14695.23,$13935.84
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,13,$11051.00,$6145.00,$5216.30
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,12,$13372.00,$13025.50,$12278.83
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,23,$48711.13,$23849.69,$22172.91
101 - SEIZURES W/O MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,39,$9114.12,$10703.94,$9941.33
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,14,$25117.92,$11354.71,$10348.57
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,13,$121785.61,$74976.53,$73573.84
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,39,$104281.15,$27337.17,$26500.30
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,88,$17038.65,$10402.94,$9485.48
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,22,$9289.86,$16309.68,$15748.04
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,17,$42415.29,$25866.35,$23754.94
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,34,$19450.00,$11507.14,$10181.64
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,12,$67512.66,$36154.83,$32061.91
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,14,$15413.00,$14780.00,$14054.57
638 - DIABETES W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,20,$18120.35,$8526.60,$7679.20
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,13,$17476.23,$12181.23,$11489.53
379 - G.I. HEMORRHAGE W/O CC/MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,13,$20338.38,$10389.30,$9433.92
194 - SIMPLE PNEUMONIA & PLEURISY W CC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,27,$24381.70,$14310.81,$13235.55
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,57,$13077.00,$9945.84,$9161.47
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,72,$44307.77,$22127.36,$18807.19
149 - DYSEQUILIBRIUM,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,102,$25429.08,$7894.07,$6981.09
812 - RED BLOOD CELL DISORDERS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,28,$12620.75,$11749.14,$11256.17
303 - ATHEROSCLEROSIS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,19,$12559.31,$8738.57,$8027.00
101 - SEIZURES W/O MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,34,$15462.52,$5952.47,$5046.76
194 - SIMPLE PNEUMONIA & PLEURISY W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,26,$13631.03,$14370.73,$12875.34
069 - TRANSIENT ISCHEMIA,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,19,$16206.15,$10529.31,$9754.78
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,18,$17949.55,$18671.05,$18328.72
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,39,$34925.33,$11963.02,$11056.51
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,26,$9543.84,$9094.19,$8456.92
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,23,$15011.78,$15787.08,$14944.00
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,228,$38020.39,$12060.50,$11321.70
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,103,$38788.71,$14095.87,$13489.06
313 - CHEST PAIN,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,30,$8528.00,$7182.93,$6284.80
303 - ATHEROSCLEROSIS W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,52,$30716.19,$7489.05,$6492.38
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,14,$9718.35,$16919.42,$16353.42
303 - ATHEROSCLEROSIS W/O MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,21,$7735.42,$8632.42,$7774.52
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,17,$35827.52,$17479.29,$16748.76
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,117,$38123.88,$12455.23,$11749.57
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,17,$10248.00,$8896.00,$8070.23
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,13,$98660.92,$43924.07,$36540.38
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,40,$8591.72,$13859.67,$13015.47
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,49,$66915.81,$19236.16,$18103.77
303 - ATHEROSCLEROSIS W/O MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,12,$11301.50,$8802.83,$8006.33
684 - RENAL FAILURE W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,38,$25670.76,$8210.97,$7458.07
683 - RENAL FAILURE W CC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,45,$12455.00,$14408.20,$13632.64
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,132,$47150.32,$13487.31,$12399.84
602 - CELLULITIS W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,59,$50489.88,$17635.01,$16845.55
683 - RENAL FAILURE W CC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,242,$44568.16,$13068.19,$12044.48
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,105,$43850.77,$12149.81,$10790.94
389 - G.I. OBSTRUCTION W CC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,63,$46676.50,$12126.14,$11454.95
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,12,$48051.91,$73806.08,$72583.75
303 - ATHEROSCLEROSIS W/O MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,23,$8553.43,$5631.86,$5048.21
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,16,$35181.68,$19188.43,$18551.68
252 - OTHER VASCULAR PROCEDURES W MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,11,$21744.90,$41889.00,$40997.27
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,17,$53849.29,$18450.11,$17388.47
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,19,$23883.05,$17431.63,$16956.68
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,49,$68019.91,$16649.14,$15842.97
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,93,$6496.66,$9460.11,$8919.54
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,12,$17897.08,$16880.91,$15683.50
682 - RENAL FAILURE W MCC,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,12,$37564.41,$25429.83,$21243.33
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,26,$17096.15,$14553.15,$13803.38
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,22,$50028.77,$84833.95,$84020.86
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,48,$7159.68,$9444.50,$8648.00
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,43,$8336.23,$6524.16,$5779.09
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,11,$23035.63,$14724.18,$14318.36
252 - OTHER VASCULAR PROCEDURES W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,118,$114323.38,$37884.67,$36243.66
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,33,$19969.69,$11111.33,$10349.03
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,17,$13945.11,$6850.23,$5919.88
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,20,$14963.75,$15596.45,$14612.35
811 - RED BLOOD CELL DISORDERS W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,15,$33368.46,$18173.06,$17389.20
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,16,$19391.56,$10415.43,$9505.68
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,254,$177964.18,$66781.33,$65314.70
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,163,$76731.01,$22807.56,$21632.83
252 - OTHER VASCULAR PROCEDURES W MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,13,$38840.69,$43366.07,$42676.84
313 - CHEST PAIN,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,94,$5538.25,$8049.93,$7255.94
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,227,$31898.31,$8788.41,$8103.92
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,14,$24339.42,$27063.42,$25932.92
638 - DIABETES W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,28,$15901.92,$11980.53,$11138.39
202 - BRONCHITIS & ASTHMA W CC/MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,27,$7952.55,$11955.14,$11188.40
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,19,$36363.94,$31353.36,$30833.73
378 - G.I. HEMORRHAGE W CC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,42,$20146.95,$8015.95,$7149.54
305 - HYPERTENSION W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,18,$7006.50,$8770.00,$7704.44
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,11,$11860.81,$9456.27,$8847.54
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,20,$26304.05,$12521.00,$11708.30
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,11,$32094.36,$15683.81,$14966.36
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,12,$20667.66,$11429.66,$10769.33
389 - G.I. OBSTRUCTION W CC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,11,$18503.45,$12560.36,$11840.00
149 - DYSEQUILIBRIUM,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,25,$6375.40,$9293.48,$8258.96
291 - HEART FAILURE & SHOCK W MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,70,$15637.84,$21077.14,$20612.28
202 - BRONCHITIS & ASTHMA W CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,11,$17955.63,$6929.54,$5168.90
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,12,$14467.58,$4751.66,$3819.00
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,28,$19620.35,$9350.96,$8199.46
305 - HYPERTENSION W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,69,$24834.36,$7646.65,$6495.91
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,NY - Bronx,19,$15441.15,$10301.57,$9252.47
305 - HYPERTENSION W/O MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,14,$6616.50,$8951.85,$8150.14
683 - RENAL FAILURE W CC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,40,$17340.25,$10078.32,$9293.92
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,15,$16474.86,$20666.00,$19919.86
812 - RED BLOOD CELL DISORDERS W/O MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,38,$15184.84,$11418.44,$11062.65
377 - G.I. HEMORRHAGE W MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,22,$27196.72,$13384.90,$12400.68
602 - CELLULITIS W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,11,$31922.54,$21243.81,$20532.18
305 - HYPERTENSION W/O MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,15,$13553.66,$9090.60,$8042.60
